Hurricanes,Year,COUNTY_x,Lat,Lon,Landfall_pop/sq mile,Pathway Town,Pathway_Latitude,Pathway_Longitude,Pathway Town Population Densities ,Fatalities,Max Wind Speed_mph,Pressure_MB,Storm Surge_ft,Precip_total_in,Mapped_COUNTY,STATE,STATEABBRV,Latitude,Longitude,STATEFIPS,COUNTY_y,COUNTYTYPE,COUNTYFIPS,STCOFIPS,NRI_ID,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,ALR_VALB,ALR_VALP,ALR_VALA,ALR_NPCTL,ALR_VRA_NPCTL,SOVI_SCORE,SOVI_RATNG,SOVI_SPCTL,RESL_SCORE,RESL_RATNG,RESL_SPCTL,RESL_VALUE,CRF_VALUE,HRCN_EVNTS,HRCN_AFREQ,HRCN_EXPB,HRCN_EXPP,HRCN_EXPPE,HRCN_EXPA,HRCN_EXPT,HRCN_EXP_AREA,HRCN_HLRB,HRCN_HLRP,HRCN_HLRA,HRCN_HLRR,HRCN_EALB,HRCN_EALP,HRCN_EALPE,HRCN_EALA,HRCN_EALT,HRCN_EALS,HRCN_EALR,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_ALR_NPCTL,HRCN_RISKV,HRCN_RISKS,HRCN_RISKR,Population Density,Fatality Rate,Damage Index,Preparedness,Emergency Preparedness,Preparedness_Score,Emergency_Preparedness
Alberto ,2006,adams beach,29.92,-83.59,800,"Tallahassee, FL",30.4381828,-84.2806235,1100,5,65,997,3,18,taylor,Florida,FL,30.0993767,-83.6773928,12,taylor,County,123,12123,C12123,21690,3630805713,13519640,1527.162411,14506558.57,74.00572701,Relatively Low,20.89552239,70.22593624,Relatively Low,22.3880597,11260278.41,10014273.75,0.093511928,1084738.365,161266.289,0.002758141,4.31E-06,0.011928298,89.75549366,92.45943366,85.38999939,Very High,0.701492537,16.17000008,Very Low,0.373134328,2.453622103,1.28829484,47,0.255682097,3630805713,21690,2.52E+11,13519640,2.55E+11,1061.124968,0.009546776,2.30E-06,0.044816334,Relatively High,8600837.315,0.012335658,143093.6322,148787.4351,8892718.382,85.0843061,Relatively Moderate,0.002368851,5.69E-07,0.011005281,92.26113273,11595483.18,88.20098699,Relatively Moderate,14.2028116,0.000230521,2377484.992,27.29752531,Low,27,0
Dennis ,2005,pensacola beach,30.4213,-87.2169,700,"Pensacola, FL",30.421309,-87.2169149,800,42,150,946,7,18,pensacola beach,Florida,FL,30.4213,-87.2169,1,Escambia,County,53,1053,C01053,36706,6867415097,35523058,962.7618187,52396993.82,91.37766465,Relatively Moderate,95.52238806,89.75549366,Relatively Moderate,92.53731343,37431706.87,32228469.28,0.405432009,4703011.301,500226.2922,0.004692955,1.10E-05,0.014081735,97.4001857,99.42729876,87.08000183,Very High,0.791044776,20.59000015,Relatively Low,0.343283582,2.476831913,1.399802419,38,0.197773038,6867415097,36706,4.26E+11,35523028.28,4.33E+11,962.7618187,0.020392824,7.62E-06,0.038543914,Very High,30306930.19,0.060802216,705305.71,284615.8923,31296851.8,94.50929529,Relatively Moderate,0.00441315,1.66E-06,0.008012145,97.36273238,43912948.83,95.4688201,Relatively Moderate,38.12573296,0.001144227,7133036.4,19.91087143,Low,20,0
Katrina ,2005,new orleans,29.9499831,-90.0700911,1200,"Gulfport, MS",30.3674198,-89.0928155,1000,1833,175,902,28,42,orleans,Louisiana,LA,29.9508941,-90.0758356,22,orleans,Parish,71,22071,C22071,383606,58148869846,233932,353.3779692,160337596.5,96.97741012,Relatively High,93.75,96.93593315,Relatively High,92.1875,145193891,126561899.2,1.605621332,18625207.45,6784.375524,0.002176515,4.19E-06,0.029001486,84.98916744,85.077951,83.29000092,Very High,0.59375,99.40000153,Very High,0.96875,2.908354998,1.104299881,34,0.266190086,58134026493,383487.1875,4.45E+12,233932,4.51E+12,212.433338,0.007857425,9.48E-06,0.014778741,Relatively High,122459629.1,0.968042284,11229290.49,885.3058845,133689804.9,98.48681366,Relatively High,0.002105967,2.52E-06,0.003784458,91.52615651,147349034.5,98.42978914,Relatively High,1085.540224,0.00477834,164551485.7,45.28102018,Moderate,45,1
Rita ,2005,beaumont,30.080048,-94.1299512,1000,"Lake Charles, LA",30.2265949,-93.2173758,900,120,120,937,15,32,beaumont,Louisiana,LA,30.080048,-94.1299512,22,Jefferson,Parish,51,22051,C22051,440590,65296605304,782452,648.5184307,239379160.1,98.15462934,Relatively High,98.4375,98.39059115,Relatively High,98.4375,209453160.2,183707829.9,2.217796979,25726444.96,18885.29015,0.002813436,5.03E-06,0.024136037,89.13649025,90.00954502,79.84999847,Relatively High,0.46875,96.05000305,Very High,0.9375,2.815232038,1.142876813,49,0.353143298,65292645913,440557.3237,5.11E+12,782452,5.18E+12,382.7183496,0.00979943,9.48E-06,0.016903177,Relatively High,171444211.4,1.115617101,12941158.37,3741.717241,184389111.5,99.0488543,Relatively High,0.002625622,2.53E-06,0.004782041,93.29874622,209177918.9,98.96814715,Relatively High,679.3793039,0.000272362,100685812.8,44.86259851,Moderate,45,1
Wilma ,2005,naples,26.1404849,-81.7903416,1300,"Fort Lauderdale, FL",26.1224386,-80.1373174,1200,87,150,882,12,35,collier,Florida,FL,26.069985,-81.4278984,12,collier,County,21,12021,C12021,375443,82542404972,217526620,2631.338568,332563613.1,98.85459752,Relatively High,88.05970149,99.04054472,Relatively High,89.55223881,307633018.9,282267755.3,1.741592663,20202474.89,5162788.733,0.00341967,4.64E-06,0.023734055,93.50046425,94.65478842,64.69999695,Relatively High,0.28358209,20.14999962,Relatively Low,0.402985075,2.474061012,1.081040046,71,0.296664259,82541645972,375437.0511,4.36E+12,216995326.5,4.44E+12,2069.305723,0.012215502,9.48E-06,0.046023685,Very High,267570216.3,0.942062955,10927930.28,2595715.819,281093862.4,99.61089494,Very High,0.003241609,2.51E-06,0.011932865,94.33635971,300875804.6,99.50650516,Very High,142.6813731,0.000231726,31368979.26,22.95050182,Low,23,0
Charley ,2004,punta gorda,26.9188994,-82.0508708,1000,"Orlando, FL",28.5383832,-81.3789269,1200,15,150,947,6,25,punta gorda,Florida,FL,26.9188994,-82.0508708,12,Charlotte,County,15,12015,C12015,186734,31462612566,50321193,956.798418,144837302.6,96.59560929,Relatively High,70.14925373,96.40978025,Relatively High,68.65671642,120875120.8,109036231.9,0.949580789,11015137.15,823751.6937,0.003465581,5.09E-06,0.016369876,92.41720829,94.68660515,61.68000031,Relatively High,0.23880597,11.93999958,Very Low,0.268656716,2.430083036,1.198239155,44,0.258533983,31462146742,186730.1143,2.17E+12,50260561.68,2.20E+12,725.0703186,0.015218106,9.48E-06,0.04539033,Very High,104043114.8,0.38437194,4458714.505,568337.0299,109070166.4,98.01124081,Relatively High,0.003306881,2.06E-06,0.011294188,94.3795936,130959374.9,98.11574697,Relatively High,195.1654565,8.03E-05,32883219.68,18.61984657,Low,19,0
Frances ,2004,stuart,27.1993713,-80.2503639,950,"Orlando, FL",28.5383832,-81.3789269,1000,7,105,960,4,22,stuart,Florida,FL,27.1993713,-80.2503639,12,Martin,County,85,12085,C12085,158246,29323001287,129094252,760.7273111,143741856.4,96.53197582,Relatively High,68.65671642,96.5645311,Relatively High,70.14925373,130294331.2,118034027.3,0.807793132,9370400.335,2889903.553,0.004025305,5.10E-06,0.022385997,94.52181987,95.86382437,48.97999954,Relatively Moderate,0.179104478,41.36999893,Relatively Moderate,0.686567164,2.56170702,1.103208828,53,0.31737236,29322861584,158245.3803,1.84E+12,128192302.4,1.87E+12,577.9507214,0.012215502,9.48E-06,0.046023685,Very High,111709417.6,0.467129668,5418704.151,1796427.896,118924549.6,98.27064419,Relatively High,0.003809617,2.95E-06,0.01391563,94.89840035,131705589.7,98.16061014,Relatively High,208.019349,4.42E-05,38546008.35,29.54317963,Low,30,0
Ivan ,2004,gulf shores,30.2499511,-87.6999407,850,"Pensacola, FL",30.421309,-87.2169149,800,92,140,946,10,30,gulf shores,Florida,FL,30.2499511,-87.6999407,12,Bradford,County,7,12007,C12007,28233,3560269432,15009945,303.5242552,12032156.65,70.21953548,Relatively Low,16.41791045,63.2002476,Relatively Low,14.92537313,8358712.406,7148014.471,0.093068713,1079597.073,131100.8623,0.002007717,3.30E-06,0.008734267,82.38935314,86.89150493,89.81999969,Very High,0.820895522,28.38999939,Relatively Low,0.52238806,2.510653019,1.439474893,28,0.209380734,3560269432,28233,3.28E+11,15009945,3.31E+11,303.5242552,0.007850384,1.72E-06,0.036630329,Relatively High,5870977.63,0.010205297,118381.443,114158.7904,6103517.863,82.49027237,Relatively Low,0.001649026,3.61E-07,0.007605544,89.01859058,8863214.343,86.22700763,Relatively Moderate,93.01727792,0.003258598,11729769.11,32.64007448,Low,33,0
Jeanne ,2004,port st. lucie,27.2700223,-80.3499695,900,"Orlando, FL",28.5383832,-81.3789269,950,3,120,950,6,20,port st. lucie,Florida,FL,27.2700223,-80.3499695,12,St. Lucie,County,111,12111,C12111,328876,44310512534,160158188,694.7851014,251282118.8,98.31371301,Relatively High,82.08955224,98.29774064,Relatively High,82.08955224,202997709.7,182442255.4,1.437556155,16675651.4,3879802.929,0.004117358,4.37E-06,0.024224818,93.16001238,96.05472479,78.68000031,Relatively High,0.582089552,46.20999908,Relatively Moderate,0.805970149,2.583295107,1.237856915,52,0.333546271,44309660561,328868.6381,3.81E+12,159239486.4,3.86E+12,596.5682227,0.012215502,9.48E-06,0.046023685,Very High,173966588.9,1.002062346,11623923.21,2333480.005,187923992.1,99.0920882,Relatively High,0.003926079,3.05E-06,0.014569845,95.2875054,233376262.2,99.14759982,Very High,473.3492404,9.12E-06,63775853.06,27.5900749,Low,28,0
Claudette ,2003,port o'connor,28.45,-96.4,750,"Victoria, TX",28.8052674,-97.0035982,700,2,90,980,4,15,port o'connor,Texas,TX,28.45,-96.4,48,Calhoun,County,57,48057,C48057,20057,4802417498,36862885,1043.090792,27170284.65,85.14158447,Relatively Moderate,82.67716535,81.83225008,Relatively Low,81.1023622,20823944.94,18321744.54,0.167305465,1940743.395,561457.0113,0.003815109,8.34E-06,0.015230957,95.1098731,97.90009545,73.93000031,Relatively High,0.464566929,75.43000031,Relatively High,0.976377953,2.695156097,1.304761644,27,0.212617397,4802347733,20056.16024,2.33E+11,36639580.81,2.37E+11,715.2360535,0.018944604,9.48E-06,0.068037577,Very High,14735654.33,0.030363496,352216.5547,396550.2773,15484421.16,89.10505837,Relatively Moderate,0.003068383,1.51E-06,0.01075744,94.03372244,20419763.8,91.3414087,Relatively Moderate,19.22843165,9.97E-05,4604026.356,42.38292358,Moderate,42,1
Isabel ,2003,drum inlet,34.83,-76.29,850,"Norfolk, VA",36.8507689,-76.2858726,950,51,105,957,7,28,drum inlet,Texas,TX,34.83,-76.29,48,Brazoria,County,39,48039,C48039,371474,57514822174,91232428,1624.910006,375730913.5,99.1091314,Relatively High,98.42519685,99.10244506,Relatively High,98.42519685,319685120.7,268020433.6,4.392998559,50958783.28,705903.8894,0.004660024,1.18E-05,0.007737423,97.21448468,98.47279669,61.74000168,Relatively High,0.299212598,71.70999908,Relatively High,0.964566929,2.680048943,1.175315613,43,0.225877715,57513559378,371464.6998,4.31E+12,91009491.54,4.37E+12,1463.574119,0.00979943,9.48E-06,0.016903177,Relatively High,124760846.3,0.776484779,9007223.435,323625.218,134091695,98.53004756,Relatively High,0.002169195,2.09E-06,0.003547261,91.65585819,152462199.1,98.51951548,Relatively High,228.6120454,0.000137291,35395696.97,38.45335457,Low,38,0
Isidore ,2002,grand isle,29.2600495,-89.9602287,950,"New Orleans, LA",29.9508941,-90.0758356,1200,7,70,964,5,18,grand isle,Louisiana,LA,29.2600495,-89.9602287,22,Jefferson Davis,Parish,53,22053,C22053,32235,5698292489,84021068,665.377853,37280256.61,88.45052498,Relatively Moderate,67.1875,86.6914268,Relatively Moderate,68.75,28694116.16,22349427.64,0.424439325,4923496.173,1421192.343,0.003922127,1.32E-05,0.016914714,96.93593315,98.79096405,81.69999695,Very High,0.53125,30.11000061,Relatively Low,0.34375,2.517461061,1.299230003,23,0.140783334,5698292489,32235,3.74E+11,83238470.69,3.80E+11,665.377853,0.02136128,8.17E-06,0.040458735,Very High,17102842.57,0.036945271,428565.141,476200.2257,18007607.93,90.14267185,Relatively Moderate,0.003001398,1.15E-06,0.005667629,93.64461738,23544193.28,92.41812472,Relatively Moderate,48.4461571,0.000217155,8563994.824,25.03341196,Low,25,0
Lili ,2002,intracoastal city,29.78,-92.2,850,"Lake Charles, LA",30.2265949,-93.2173758,800,15,90,953,6,22,intracoastal city,Louisiana,LA,29.78,-92.2,22,Vermilion,Parish,113,22113,C22113,57317,7237194103,134507406,1557.790331,44160081.74,89.85046134,Relatively Moderate,71.875,89.26029093,Relatively Moderate,73.4375,36042873.82,22202544.97,0.958135593,11114372.88,2725955.97,0.003067839,1.67E-05,0.020266215,97.090684,97.70919504,78.98999786,Relatively High,0.4375,70.69000244,Relatively High,0.71875,2.677023888,1.225209786,33,0.193669512,7236968159,57315.23013,6.65E+11,134259568.7,6.72E+11,1315.099805,0.012215502,9.48E-06,0.046023685,Relatively High,15720273.63,0.096769367,1122524.659,1082260.652,17925058.94,90.05620406,Relatively Moderate,0.00217215,1.69E-06,0.008046105,91.6126243,22170023.54,91.74517721,Relatively Moderate,36.79378339,0.000261702,4645807.564,38.01996656,Low,38,0
Alberto ,2000,dauphin island,30.2501389,-88.1101054,850,"Mobile, AL",30.6953657,-88.0398912,900,12,110,980,7,24,dauphin island,Alabama,AL,30.2501389,-88.1101054,1,Mobile,County,97,1097,C01097,414514,76023019218,103890465,1660.649372,319033182.2,98.79096405,Relatively High,100,98.79294336,Relatively High,100,274696080.4,237030604,3.098080408,35937732.73,1727743.638,0.003117879,7.47E-06,0.016630435,92.26245744,93.22303532,79.47000122,Relatively High,0.671641791,74.59999847,Relatively High,0.955223881,2.691123962,1.161404203,49,0.262145716,76022528045,414509.019,4.81E+12,103890465,4.88E+12,1271.401428,0.012215502,9.48E-06,0.046023685,Very High,228981476.5,0.96975154,11249117.86,1267692.311,241498286.7,99.35149157,Very High,0.003012002,2.34E-06,0.012202201,94.16342412,280910700.9,99.41677882,Very High,249.6095847,2.89E-05,45779091.3,38.62305517,Low,39,0
Bret ,1999,padre island,27.12,-97.23,750,"Corpus Christi, TX",27.796399,-97.4030193,800,7,125,944,8,20,padre island,Texas,TX,27.12,-97.23,48,Cameron,County,61,48061,C48061,420083,54597236036,140604731,1289.315689,271688662.1,98.47279669,Relatively High,96.8503937,97.74063757,Relatively High,96.06299213,166163711.6,129647307.3,2.945530422,34168152.9,2348251.387,0.002374613,7.01E-06,0.016701084,86.81522748,94.30480433,98.27999878,Very High,0.937007874,7.860000134,Very Low,0.212598425,2.400382042,1.635066161,30,0.174195063,54592759133,420069.8713,4.87E+12,140072029.4,4.93E+12,1081.517893,0.012215502,9.48E-06,0.046023685,Relatively High,104524564.1,0.624531512,7244565.537,1000389.622,112769519.2,98.0977086,Relatively High,0.001914466,1.49E-06,0.007114907,90.40207523,185905524.6,98.83355765,Relatively High,325.8185746,1.67E-05,42345902.17,13.53679602,Low,14,0
Floyd ,1999,cape fear,33.85,-77.95,950,"Wilmington, NC",34.2103894,-77.8868117,1000,57,155,921,10,25,cape fear,North Carolina,NC,33.85,-77.95,37,New Hanover,County,129,37129,C37129,225344,51260309582,5535212,332.1791355,283543106,98.50461343,Relatively High,100,98.70009285,Relatively High,100,267100436.8,246889632.8,1.731678647,20087472.31,123331.6478,0.00481639,7.68E-06,0.022281287,97.05973383,97.6773783,46.18000031,Relatively Moderate,0.21,82.26999664,Very High,0.97,2.722949982,1.061559874,61,0.396743391,51259827176,225340.8834,2.61E+12,5535212,2.67E+12,213.920451,0.012215502,9.48E-06,0.046023685,Very High,237980760.1,0.811686246,9415560.453,96773.47177,247493094,99.43795936,Very High,0.004642593,3.60E-06,0.017483246,98.01124081,262605950.2,99.37191566,Very High,678.3809575,0.000252947,154315259.8,42.80325436,Moderate,43,1
Bonnie ,1998,cape fear,33.85,-77.95,950,"Wilmington, NC",34.2103894,-77.8868117,1000,3,115,954,5,20,cape fear,North Carolina,NC,33.85,-77.95,37,New Hanover,County,129,37129,C37129,225344,51260309582,5535212,332.1791355,283543106,98.50461343,Relatively High,100,98.70009285,Relatively High,100,267100436.8,246889632.8,1.731678647,20087472.31,123331.6478,0.00481639,7.68E-06,0.022281287,97.05973383,97.6773783,46.18000031,Relatively Moderate,0.21,82.26999664,Very High,0.97,2.722949982,1.061559874,61,0.396743391,51259827176,225340.8834,2.61E+12,5535212,2.67E+12,213.920451,0.012215502,9.48E-06,0.046023685,Very High,237980760.1,0.811686246,9415560.453,96773.47177,247493094,99.43795936,Very High,0.004642593,3.60E-06,0.017483246,98.01124081,262605950.2,99.37191566,Very High,678.3809575,1.33E-05,154315259.8,42.80325436,Moderate,43,1
Georges ,1998,biloxi,30.39,-88.89,1000,"Mobile, AL",30.6953657,-88.0398912,900,16,105,964,8,28,harrison,Mississippi,MS,30.432087,-89.0179332,28,harrison,County,47,28047,C28047,208275,37329343811,3886799,994.6294983,168790837.4,97.20012727,Relatively High,100,96.90498298,Relatively High,100,142802164.7,126016845.6,1.440107302,16705244.7,80074.46178,0.003375812,6.91E-06,0.020601647,92.69575983,94.40025453,92.16999817,Very High,0.682926829,67.41000366,Relatively High,0.926829268,2.66417098,1.181990747,40,0.264876333,37329222090,208273.7039,2.42E+12,3886799,2.45E+12,599.8717969,0.012215502,9.48E-06,0.046023685,Very High,111925520.7,0.484620283,5621595.277,43901.59109,117591017.5,98.18417639,Relatively High,0.002998325,2.33E-06,0.011295051,93.99048854,139240062.5,98.25033647,Relatively High,209.3995808,7.68E-05,37530903.59,33.34359572,Low,33,0
Danny ,1997,moss point,30.42,-88.53,900,"Mobile, AL",30.6953657,-88.0398912,850,9,70,984,6,20,moss point,Mississippi,MS,30.42,-88.53,28,Jackson,County,59,28059,C28059,143149,23069757778,8766459,1053.936706,123244996.1,95.99109131,Relatively High,98.7804878,95.88362736,Relatively High,98.7804878,106721589,89893739.85,1.435859996,16655975.96,171873.1912,0.003896605,1.00E-05,0.019605771,95.04797276,96.72287623,71.48000336,Relatively High,0.256097561,75.87999725,Relatively High,0.963414634,2.697067976,1.154827222,49,0.310817711,23069749939,143148.894,1.66E+12,8766459,1.68E+12,749.9498145,0.012215502,9.48E-06,0.046023685,Very High,79786686.55,0.382203866,4433564.849,115071.1575,84335322.56,97.36273238,Relatively High,0.003458497,2.67E-06,0.013126298,94.55252918,97611928.39,97.48766263,Relatively High,135.8231469,6.29E-05,21889130.2,38.29659297,Low,38,0
Bertha ,1996,wilmington,34.2300798,-77.9401406,950,"Raleigh, NC",35.7795897,-78.6381787,1200,12,105,977,6,20,new hanover,North Carolina,NC,34.2154913,-77.8824596,37,new hanover,County,129,37129,C37129,225344,51260309582,5535212,332.1791355,283543106,98.50461343,Relatively High,100,98.70009285,Relatively High,100,267100436.8,246889632.8,1.731678647,20087472.31,123331.6478,0.00481639,7.68E-06,0.022281287,97.05973383,97.6773783,46.18000031,Relatively Moderate,0.21,82.26999664,Very High,0.97,2.722949982,1.061559874,61,0.396743391,51259827176,225340.8834,2.61E+12,5535212,2.67E+12,213.920451,0.012215502,9.48E-06,0.046023685,Very High,237980760.1,0.811686246,9415560.453,96773.47177,247493094,99.43795936,Very High,0.004642593,3.60E-06,0.017483246,98.01124081,262605950.2,99.37191566,Very High,678.3809575,5.33E-05,154315259.8,42.80325436,Moderate,43,1
Fran ,1996,cape fear,33.85,-77.95,950,"Wilmington, NC",34.2103894,-77.8868117,1000,37,120,960,8,28,cape fear,North Carolina,NC,33.85,-77.95,37,New Hanover,County,129,37129,C37129,225344,51260309582,5535212,332.1791355,283543106,98.50461343,Relatively High,100,98.70009285,Relatively High,100,267100436.8,246889632.8,1.731678647,20087472.31,123331.6478,0.00481639,7.68E-06,0.022281287,97.05973383,97.6773783,46.18000031,Relatively Moderate,0.21,82.26999664,Very High,0.97,2.722949982,1.061559874,61,0.396743391,51259827176,225340.8834,2.61E+12,5535212,2.67E+12,213.920451,0.012215502,9.48E-06,0.046023685,Very High,237980760.1,0.811686246,9415560.453,96773.47177,247493094,99.43795936,Very High,0.004642593,3.60E-06,0.017483246,98.01124081,262605950.2,99.37191566,Very High,678.3809575,0.000164193,154315259.8,42.80325436,Moderate,43,1
Erin ,1995,vero beach,27.6401776,-80.3897317,900,"Orlando, FL",28.5383832,-81.3789269,1000,6,85,984,4,18,indian river,Florida,FL,28.23216849,-80.6003714,12,indian river,County,61,12061,C12061,159719,28622011035,122123316,623.1352702,165333142.7,97.07286032,Relatively High,71.64179104,97.24543485,Relatively High,73.13432836,154825273.5,141222714.9,0.89983933,10438136.23,3164422.397,0.00493406,5.63E-06,0.025911697,96.37883008,97.32739421,52.09999847,Relatively Moderate,0.194029851,49.54999924,Relatively Moderate,0.850746269,2.596092939,1.067869211,51,0.312380373,28621273861,159717.1838,1.85E+12,119996817.9,1.88E+12,531.2696924,0.015218106,9.48E-06,0.04539033,Very High,136304470.2,0.473738804,5495370.122,1658020.35,143457860.6,98.61651535,Relatively High,0.004762225,2.97E-06,0.013576608,98.22741029,152246279.7,98.47465231,Relatively High,256.3151335,3.76E-05,45932259.66,31.49731576,Low,31,0
Opal ,1995,pensacola beach,30.35,-87.14,850,"Destin, FL",30.3935337,-86.4957833,900,59,115,942,8,26,pensacola beach,Florida,FL,30.35,-87.14,1,Escambia,County,53,1053,C01053,36706,6867415097,35523058,962.7618187,52396993.82,91.37766465,Relatively Moderate,95.52238806,89.75549366,Relatively Moderate,92.53731343,37431706.87,32228469.28,0.405432009,4703011.301,500226.2922,0.004692955,1.10E-05,0.014081735,97.4001857,99.42729876,87.08000183,Very High,0.791044776,20.59000015,Relatively Low,0.343283582,2.476831913,1.399802419,38,0.197773038,6867415097,36706,4.26E+11,35523028.28,4.33E+11,962.7618187,0.020392824,7.62E-06,0.038543914,Very High,30306930.19,0.060802216,705305.71,284615.8923,31296851.8,94.50929529,Relatively Moderate,0.00441315,1.66E-06,0.008012145,97.36273238,43912948.83,95.4688201,Relatively Moderate,38.12573296,0.001607367,7133036.4,19.91087143,Low,20,0
Andrew ,1992,homestead,25.4699862,-80.4800453,1500,"Miami, FL",25.7616798,-80.1917902,1200,65,165,922,17,30,miami-dade,Florida,FL,25.5516034,-80.6326916,12,miami-dade,County,86,12086,C12086,2698679,3.20E+11,960869503,2413.442013,1301109037,99.80909959,Very High,100,99.78334881,Very High,100,959496229.2,802495653.6,10.79630533,125237141.8,31763433.81,0.002511139,4.00E-06,0.033056969,86.84617765,89.34139357,90.06999969,Very High,0.850746269,37.11000061,Relatively Low,0.641791045,2.545964003,1.356033507,62,0.321119523,3.20E+11,2698638.632,3.13E+13,957966933.3,3.16E+13,2012.216045,0.007857425,9.48E-06,0.014778741,Relatively High,739709650.5,7.550028908,87580335.33,4451566.429,831741552.3,99.87029831,Very High,0.002314671,2.80E-06,0.004632852,92.82317337,1133826281,99.95513683,Very High,1118.186799,2.41E-05,132590714.1,38.85060547,Low,39,0
Bonnie ,1992,cape fear,33.85,-77.95,950,"Wilmington, NC",34.2103894,-77.8868117,1000,6,95,980,5,18,cape fear,North Carolina,NC,33.85,-77.95,37,New Hanover,County,129,37129,C37129,225344,51260309582,5535212,332.1791355,283543106,98.50461343,Relatively High,100,98.70009285,Relatively High,100,267100436.8,246889632.8,1.731678647,20087472.31,123331.6478,0.00481639,7.68E-06,0.022281287,97.05973383,97.6773783,46.18000031,Relatively Moderate,0.21,82.26999664,Very High,0.97,2.722949982,1.061559874,61,0.396743391,51259827176,225340.8834,2.61E+12,5535212,2.67E+12,213.920451,0.012215502,9.48E-06,0.046023685,Very High,237980760.1,0.811686246,9415560.453,96773.47177,247493094,99.43795936,Very High,0.004642593,3.60E-06,0.017483246,98.01124081,262605950.2,99.37191566,Very High,678.3809575,2.66E-05,154315259.8,42.80325436,Moderate,43,1
Hugo ,1989,charleston,32.7802266,-79.9300012,1100,"Myrtle Beach, SC",33.6954218,-78.8802094,800,49,140,934,20,30,charleston,South Carolina,SC,32.7833163,-79.9319664,45,charleston,County,19,45019,C45019,407722,85995597414,25671902,1371.697942,491072483.6,99.45911549,Relatively High,100,99.50479728,Very High,100,477153555.7,415756369.9,5.223048609,60587363.86,809821.883,0.004834624,1.28E-05,0.031545068,98.48344166,98.21826281,45.18999863,Relatively Moderate,0.043478261,92.70999908,Very High,1,2.786784887,1.029170752,61,0.361551203,85988400872,407699.2764,4.73E+12,25671902,4.82E+12,975.3305859,0.012215502,9.48E-06,0.046023685,Very High,343185404,1.261975433,14638915.02,384557.3366,358208876.3,99.69736273,Very High,0.003990732,3.10E-06,0.014979698,95.15780372,360703043.6,99.64109466,Very High,297.2389092,0.00012018,62692809.24,48.5723949,Moderate,49,1
Jerry ,1989,galveston,29.2997754,-94.7900542,1000,"Houston, TX",29.7600771,-95.3701108,1200,3,75,987,6,20,galveston,Texas,TX,29.3013479,-94.7976958,48,galveston,County,167,48167,C48167,350477,56746977585,10592645,882.7094952,553807380.9,99.52274897,Relatively High,99.60629921,99.53574745,Very High,99.60629921,496002488.1,462634875.4,2.861292812,33190996.62,176616.1088,0.008152591,8.16E-06,0.016673466,99.6904983,99.36366529,73.51999664,Relatively High,0.460629921,90.36000061,Very High,0.996062992,2.76761198,1.116541538,43,0.270302987,56746143140,350468.7538,4.07E+12,10576824.23,4.12E+12,415.1159619,0.00979943,9.48E-06,0.016903177,Relatively High,123172087,0.732377496,8495578.952,38105.23393,131705771.2,98.40034587,Relatively High,0.002170549,2.09E-06,0.003597329,91.74232598,143940042.8,98.34006281,Relatively High,397.0468222,8.56E-06,64287263.13,42.7667731,Moderate,43,1
Florence ,1988,moss point,30.42,-88.53,900,"Mobile, AL",30.6953657,-88.0398912,850,4,65,987,4,16,moss point,Alabama,AL,30.42,-88.53,28,Jackson,County,59,28059,C28059,143149,23069757778,8766459,1053.936706,123244996.1,95.99109131,Relatively High,98.7804878,95.88362736,Relatively High,98.7804878,106721589,89893739.85,1.435859996,16655975.96,171873.1912,0.003896605,1.00E-05,0.019605771,95.04797276,96.72287623,71.48000336,Relatively High,0.256097561,75.87999725,Relatively High,0.963414634,2.697067976,1.154827222,49,0.310817711,23069749939,143148.894,1.66E+12,8766459,1.68E+12,749.9498145,0.012215502,9.48E-06,0.046023685,Very High,79786686.55,0.382203866,4433564.849,115071.1575,84335322.56,97.36273238,Relatively High,0.003458497,2.67E-06,0.013126298,94.55252918,97611928.39,97.48766263,Relatively High,135.8231469,2.79E-05,21889130.2,38.29659297,Low,38,0
Gilbert ,1988,south padre island,26.0805805,-97.1595403,800,"Brownsville, TX",25.9017472,-97.4974838,900,318,125,888,8,28,south padre island,Texas,TX,26.0805805,-97.1595403,48,Cameron,County,61,48061,C48061,420083,54597236036,140604731,1289.315689,271688662.1,98.47279669,Relatively High,96.8503937,97.74063757,Relatively High,96.06299213,166163711.6,129647307.3,2.945530422,34168152.9,2348251.387,0.002374613,7.01E-06,0.016701084,86.81522748,94.30480433,98.27999878,Very High,0.937007874,7.860000134,Very Low,0.212598425,2.400382042,1.635066161,30,0.174195063,54592759133,420069.8713,4.87E+12,140072029.4,4.93E+12,1081.517893,0.012215502,9.48E-06,0.046023685,Relatively High,104524564.1,0.624531512,7244565.537,1000389.622,112769519.2,98.0977086,Relatively High,0.001914466,1.49E-06,0.007114907,90.40207523,185905524.6,98.83355765,Relatively High,325.8185746,0.000756993,42345902.17,13.53679602,Low,14,0
